Número inscripción,,Denominación social,,
1750,,"URAZCA CONSTRUCCIONES, S.A.",,
1670,,"ZÁRATE Y ASOCIADOS CONSULTORES, S.L.",,
823,,"CARL ZEISS MEDITEC IBERIA, S.A.U.",,
1109,,"MONTAJES ELÉCTRICOS ELCA, S.A.",,
608,,"LA FERRETERA VIZCAÍNA, S.A.",,
1699,,"EQUIPAMIENTOS SANITARIOS, S.A.",,
770,,"EREIN COMERCIAL, S.A.",,
1600,,MIGUEL PÉREZ PELÁEZ,,
1764,,"C.V. MÉDICA, S.L.",,
1478,,"ELECTRICIDAD MIBE, S.A.",,
586,,"TALLERES AMONDARAIN, S.A.",,
1675,,"INSTALACIONES INABENSA, S.A.",,
1066,,"IMPRENTA BEREKINTZA, S.L.",,
677,,"FINANZAUTO, S.A.",,
959,,"TECNOCOM ESPAÑA SOLUTIONS, S.L.",,
1742,,"ARROW IBERIA, S.A.",,
113,,"ELECNOR, S.A.",,
2109,,CONSTRUCCIONES LAUMORA SL,,
1700,,"KREAN, S.COOP.",,
925,,"TÉCNICA Y PROYECTOS, S.A.",,
,,,,
1072,,"SABICO SEGURIDAD, S.A.",,
1532,,"ARGIA GRAIFIKA, S.L.",,
416,,"VADRISA, S.A.",,
268,,"COMERCIAL DE INTERCOMUNICACIÓN Y ELECTRÓNICA, S.L.",,
578,,"WERFEN ESPAÑA, S.A.",,
1223,,"DIDACIENCIA, S.A.",,
28,,"GRÁFICAS SANTAMARÍA, S.A.",,
612,,"SANROSAN, S.A.",,
13,,"M.S.A. ESPAÑOLA, S.A.",,
2453,,TEST AUDITORES S.L.,,
2365,,"EDIFICACIÓN Y SERVICIOS TECNEI, S.A.",,
1487,,"SIGNOS DE IDENTIDAD, S.L.",,
1792,,"THEORICA DE LA PINTURA, S.L.",,
389,,"JUPER BAT, S.A.",,
1410,,"FASTON AUDIOVISUALES Y TELECOMUNICACIONES, S.L.",,
1489,,"CONSULTING CREATIVO, S.L.",,
1606,,"COMPAQ COMPUTER ESPAÑA, S.L. (Sociedad Unipersonal)",,
1324,,"SEINTEX SERVICIOS DE INFORMÁTICA, S.A.",,
1458,,"BI-ONDO MOTOR, S.L.",,
1329,,"SOCIEDAD ESPAÑOLA DE INSTALACIONES DE REDES TELEFÓNICAS, S.A. (SEIRT)",,
224,,"ASESORES EN IMAGEN CORPORATIVA, S.A.",,
1728,,"INJELAN, S.L.",,
1848,,"CONSTRUCCIONES IZORIA, S. COOP.",,
2026,,"INDUSTRIAS TÉCNICAS ITC, S.L.",,
18,,"CONSTRUCCIONES JOSÉ URRACA, S.A.",,
,,,,
1245,,"ABOGADOS Y TÉCNICOS ASOCIADOS, S.L.",,
2113,,"ENVÍOS Y DISTRIBUCIONES ARABA, S.L.",,
1316,,"VICONSA, S.A.",,
2757,,"TRILOGÍA, CREATIVIDAD Y DISEÑO GRÁFICO, S.L.",,
429,,"ALIMENTACIÓN BARROSO, S.A.",,
2750,,"CARDIOMEDICAL DEL MEDITERRÁNEO, S.L.",,
1895,,"VANOS, S.A.",,
1603,,"NOKIA SPAIN, S.A.",,
262,,"ESTUDIOS GRÁFICOS ZURE, S.A.",,
620,,"MASTERCLIN, S.A.",,
668,,"SAITEC, S.A.",,
2071,,"FERNÁNDEZ CONSTRUCTOR, S.A. UNIPERSONAL",,
1921,,"CRONOBIT, S.L.",,
2008,,"ASOCIACIÓN PARA EL DESARROLLO DE PROYECTOS DE INTERV. SOCIAL ""BETA""",,
2839,,"OBRAS Y SERVICIOS DE CONSTRUCCIÓN DULSA, S.L. (SOC.UNIPERSONAL)",,
3098,,TALLERES TARAMONA SL,,
2821,,"COMPOSAN CONSTRUCCION, S.A.",,
3031,,"CIMAS INNOVACIÓN Y MEDIO AMBIENTE, S.L.L.",,
2793,,"APLICACIONES DE PINTURAS UNIÓN, S.L.",,
2840,,"ARRASATE-G TALDEA, S. COOP.",,
2847,,"IPARTEK SERVICIOS INFORMÁTICOS, S.COOP.",,
2905,,"NORVERTICAL, S.L.",,
3155,,"LUIS LÓPEZ DE MATURANA, S.L.",,
3122,,BEINKE PROYECTOS TURISTICOS Y CULTURALES,,
2711,,"LANEDER CONSTRUCCIONES, S.A.",,
,,,,
1503,,"GARBIALDI, S.A.",,
3236,,"GRUPO S21SEC GESTIÓN, S.A.",,
3065,,"LALUCA COMUNICACIÓN, S.L.",,
2999,,"DIGWIND, S.L",,
2953,,CLIMATIZACIONES ORIO SL,,
2692,,"MC INFORTÉCNICA, S.L.",,
2633,,"INTERWAY, S.A.",,
2928,,"ALMEVAN, S.L. UNIPERSONAL",,
2808,,"AJL OPHTHALMIC, S.A.",,
3124,,"DOMINION TECNOLOGÍAS, S.L.U.",,
2645,,"GERTU KOMUNIKAZIO BIDE, S.L.",,
2895,,"BILBAO EXHIBITION CENTRE, S.A.",,
2761,,MARIO GUISASOLA RON (ANTA),,
2849,,"QED SYSTEMS, S.L.",,
2859,,"ASUAMOTOR, S.L.",,
2853,,RAFAEL GAZTELU BEGOÑA,,
3440,,"PINTURAS IRU DOMÍNGUEZ, S.L.",,
2851,,"I. AURREKOETXEA ETA BAZKIDEAK, S.L.",,
2891,,"INFOTOP OBRAS Y SERVICIOS, S.L.",,
2743,,"A.C.C. COMUNICACIÓN CREATIVA, S.L.",,
2923,,"WACREES, S.A.",,
3060,,"GREINER BIO-ONE ESPAÑA,  S.A.U.",,
2146,,"MEIJI PHARMA SPAIN, S.A.",,
2551,,"MUTUA VIZCAYA INDUSTRIAL, MUTUA ACCIDENTES TRABAJO Y ENFERMEDADES",,
2683,,"PAUSOKA, S.A.",,
,,,,
2355,,"CONSTRUCCIONES LORENZO SASTRE, S.L.",,
2185,,SOCIEDAD PROTECTORA DE ANIMALES Y PLANTAS DE GIPUZKOA,,
2330,,"LIMPIEZAS AYALA GARBIKETAK, S.L.",,
146,,"MONTAJES ALECTRIAL, S.A.",,
1050,,"TEXTIL CANO Y SEGURA, S.A.",,
2119,,"ABELTZAIN, S. COOP. DE SERVICIOS VETERINARIOS",,
2246,,"ELENPUNT, S.A.",,
1429,,"TEIC, S.A.",,
2164,,"LANALDEN, S.A.",,
2441,,"HERMANOS ELORTEGI, S.A.",,
2232,,"ORGANON TEKNIKA ESPAÑOLA, S.A.",,
1372,,"PAZOS, CONSTRUCCIONES Y RESTAURACIONES, S.L.",,
2562,,"BEMED PRODUCTOS Y DISTRIBUCIONES, S.L.",,
2493,,"GF SEIS MEDIA, S.L.",,
2571,,"BIZKAIKO ZABOR  BERZIKLATEGIA, S.L.",,
2449,,"LENDING SERVICE, S.L.",,
2341,,"DEIKA, S.A.",,
1331,,"OBRAS Y SERVICIOS METROPOLIS, S.A.",,
2388,,CONSTRUCCIONES MAJUELO GARAY SL,,
2491,,"KRAPE, S.A.",,
2271,,"DELFIN REGALOS DE EMPRESA, S.L.",,
2356,,DONOSTIKO LAMIAK ASOCIACIÓN ASISTENCIA A DOMICILIO,,
3810,,"CONFECCIONES ANADE, S.A.",,
3863,,"KONDIA M.E. TALDEA, S.L.U",,
4336,,"JOSÉ GÁRATE FERNANDEZ, FONTANERÍA GÁRATE",,
,,,,
4354,,"TELUR GEOTERMIA Y AGUA, S.A.",,
3653,,"PROMOCIONES Y CONSTRUCCIONES ELORRI GASTEIZ, S.L.U.",,
3667,,"EXCOR MEDICAL DEVICES, S.L.",,
4278,,"EQUINOCCIO NATURALEZA, S.L.",,
4372,,"PUBLIS NUCLEO DE COMUNICACION Y MARKETING, S.L.",,
3727,,"CONSTRUCCIONES MONDRAGÓN, S.L.",,
4383,,NEURKI INGENIERIA TOPOGRAFICA SOCIEDAD DE RESPONSABILIDAD LIMITADA PROFESIONAL,,
4258,,"GARATE AUTOBUSAK, S.L.",,
3751,,"RED2RED CONSULTORES, S.L.",,
3454,,"GLOBAL ENERGY SERVICES SIEMSA, S.A.",,
5270,,"DONOSTIA ESTRÉS Y COACHING CENTER, S.L.",,
4369,,"ECOTERRA DESARROLLO SOSTENIBLE, S.L.",,
4260,,"AUTOBUSES URBANOS IRUN FUENTERRABIA, S.L.",,
3858,,"INFLOSS WORLD, S.L.",,
4325,,"YOUNG CONTRACTORS, S.L.",,
4333,,"HABITAT ARS TECNIA SOCIETAS MMVIII, S.L.",,
4457,,"TALAIBER, S.A.",,
3978,,"KIROLATZEN 2000, S.L.",,
3915,,"TRANSPORTES HIJOS DE ANGEL CARRASCO, S.L.",,
4338,,"SERCONST CANTÁBRICOS, S.L.",,
5411,,CONFLUENTIA SERVICIOS INtEGRALES PARA LA SOSTENIBILIDAD A.I.E.,,
4494,,ZORROZA INDUSKETAK ETA GARRAIOAK SL,,
3951,,"SEMANTIC SYSTEMS, S.L.",,
4326,,"APLICACIONES ELECTRIICAS IZARAK, S.L.",,
3689,,"LANDALAN ESTRUCTURAS, S.L.U.",,
,,,,
3692,,"ARBOLAN JARDINERÍA, SL",,
4000,,"TRANSPORTES DE MERCANCÍAS DEL NORTE, S.L.",,
4002,,"ADREDE PUBLICIDAD, S.L.",,
3686,,"WATERS CROMATOGRAFÍA, S.A.",,
3773,,"DEBELAIZ TALLERES, S.L.",,
4654,,KIROLEKIN S.L.,,
3703,,"ANTIA ERAIKI, S.L.",,
4744,,"LEZIAGA 1995 CONSTRUCCIONES, S.L.",,
3390,,"IBERKONZERT, S.L.",,
4321,,"BAS ASESORES ABOGADOS, S.L.P.",,
3462,,"EUROPA CANINA, S.L.",,
3627,,"SISTEMAS DE INTEGRACION AVANZADOS, S.L.",,
3665,,"COMBINO PHARM, S.L.",,
2479,,"ERAIMEN, S.L.",,
3465,,"DERRIBOS PETRALANDA, S.L.",,
3040,,"SOKAIRE SERVICIOS DE LIMPIEZA, SLU",,
3287,,"PSH ENERGÍA, S.A.",,
3343,,"OBRAS Y EDIFICACIONES SEIXO, S.L.",,
3373,,"BILBAO VERTICAL, S.L.",,
3402,,"INDAR SUN INGENIEROS, S.L.",,
3239,,"MENDILANKOR, KOOP. E.",,
3339,,"STI WORLD, S.L.",,
3352,,"POSTIGO OBRAS Y SERVICIOS, S.A.",,
3556,,"CONSTRUCCIONES LANGOITIA, S.L.U.",,
3562,,"SAREIN SISTEMAS, S.L.",,
,,,,
3558,,"T-SYSTEMS ITC IBERIA, S.A.U.",,
879,,"SOPRA STERIA EUSKADI, S.L.",,
3285,,"ELÉCTRICAS ASMOTUR URIARTE, S.L.",,
1553,,"SUSPERGINTZA, ASOCIACION DE INTERVENCION SOCIAL",,
3807,,"FACTOR CO2 INTEGRAL SERVICES, S.L.",,
3844,,"CONSTRUCCIONES TRAPAGARAN 2002, S.L.",,
3494,,"EGOIN, S.A.",,
4585,,"OMBUDS COMPAÑÍA DE SEGUROS, S.A.",,
3834,,"MONTAJES ELECTRICOS IGOAN, S.L.",,
3641,,KRIC KRAC SOINU TA ARGIAK. S.L.,,
3325,,"INSTALACIÓN TUBERÍA DE GAS ITG, S.L.",,
3511,,"COPROLINOR ARABA, S.L.",,
3247,,"AKROPOST SERVICIOS POSTALES DEL PAIS VASCO, S.A.",,
3461,,"CENTRO INV. Y DOC. S/ PROBLEMAS DE LA ECONOMÍA, EL EMPLEO Y LAS CUALIFIC. PROF.",,
3886,,ESTARTETXE 2003 PROMOCIONES SL,,
3937,,"SERVICIOS DE COLABORACIÓN INTEGRAL, S.L.",,
3891,,"IMPRENTA TXEMISA, S.L.",,
4489,,"INCOHISA INSTALACIONES, S.A.",,
5133,,"DECORACIONES EL PILAR, S.L.",,
5707,,"ATOS IT SOLUTIONS AND SERVICES IBERIA, S.L.",,
5152,,"PATANEGRA PUBLICIDAD, S.COOP. PEQUEÑA",,
5330,,"BELLCO, S.R.L.",,
5493,,"MULTILAN AYG, S.L.",,
5685,,ASOCIACIÓN ADOSTEN PARA LA MEDIACIÓN Y RESOLUCIÓN DE CONFLICTOS,,
5724,,AZ PROCESOS PARTICIPATIVOS,,
,,,,
3552,,"TRANSITIA, S.L.",,
5439,,ELKARZERBI SLU,,
5551,,"SERCONTROL 2000, S.L.",,
5426,,EUSKALGINTZA BULEGOA ITZULPENAK SL,,
5800,,ASOCIACIÓN EMAÚS EKOLABORA,,
5082,,ONDASUNEGI S.L.,,
5583,,"SISTEMAS INFORMÁTICOS ABIERTOS, S.A.",,
5595,,INDARLAN OBRAS Y EVENTOS S.L.L.,,
5262,,SETLAND S.L.,,
5618,,"EXCAVACIONES FERMIN OSES, S.L",,
5332,,FUNDACION EDE/ EDE FUNDAZIOA,,
5434,,"LERUL & MATTIN, S.L.",,
5628,,"EUSKAL BUS, S.L.U.",,
5288,,"GANADOS OLDEKO, S.L.",,
4987,,JUAN RAMÓN MERINO YÁÑEZ,,
5325,,ECHEVARRI TURISMOS S.A.,,
5482,,"LA INVASIÓN DE LAS IDEAS, S.L.",,
4967,,"AUTOMÓVILES BERASATEGUI, S.L.",,
4968,,"EIBAR MOTOR, S.L.",,
5117,,"ACTELION PHARMACEUTICALS ESPAÑA, S.L.",,
5640,,"ICONICA IMAGEN CORPORATIVA APLICADA, S.L.",,
5510,,TIPOGRAFIKA KOOP. ELK. TXIKIA,,
4854,,"BASKORED, S.L.",,
4999,,"ZIX STUDIO, S.L.",,
4564,,"TELEDATA SPORT, S.L.",,
,,,,
4509,,"BUSINESS & MEDIA ADVISORS, S.L.",,
5680,,TECNILÓGICA ECOSISTEMAS,,
4683,,INGENIEROS ASESORES SA,,
2331,,"MUDANZAS FLIPPERS INTERNATIONAL, S.L.",,
4869,,"LASER AUDIOVISUALES, S.L.",,
4806,,"INVIZA, S.A.",,
4834,,"CONSTRUCCIONES ARMAGUI, S.L.",,
5130,,"CRAN ARTE GRÁFICO, S. COOP. PEQUEÑA",,
4557,,"CRADA, S.L.",,
4717,,"IBETARRI HARRILANAK ETA ERAIKUNTZAK, S.L.",,
4933,,"LATAPADERA CREACIONES, S.L.",,
4883,,"STIEFEL FARMA, S.A.",,
4908,,"INSTITUTO PARA EL DESARROLLO DE LA INFORMACIÓN Y EL CONOCIMIENTO SOBRE LA MOVILIDAD Y LA ACTIVIDAD TURÍSTICA MOVATUR, S.L.",,
4938,,"ENDO PROTEK, S.L.",,
4705,,GEOTECH GESTION ESPACIAL S.L.,,
4548,,"KEUETXE, S.L.",,
4795,,"URBEGI SERVICIOS MEDIOAMBIENTE, S.L.",,
4312,,"GRUPO EUROPEO DE PROTECCIÓN, S.L.",,
4859,,"BIOTERMIAK ZEBERIO 2009, S.L.",,
4860,,"GESTION INTEGRAL DE OBRAS Y JARDINES, S.L.",,
4487,,"INGECLIMA, S.L.",,
3509,,"EXCAVACIONES PERU, S.L.",,
4928,,"IRUSOIN, S.A.",,
4941,,"INIBSA DENTAL, S.L.U.",,
,,,,
4897,,"CIS COMPAÑÍA INTEGRAL DE SEGURIDAD, S.A.",,
4397,,"RADIOMETER IBÉRICA, S.L.",,
4261,,"TECNICAS FOTOSOLARES, S.L.",,
4855,,"ESTUDIO DE RENOVACIÓN Y DESARROLLOS URBANOS, S.L.",,
4805,,"ORDIZIA GARBIKETAK LANTZEN, S.L.",,
4937,,"ARISTOS 94, S.L.",,
4519,,BARAKA PRODUCCIONES AUDIOVISUALES S.L.,,
4698,,"BILBAO AMONDARAIN, IÑAKI",,
4689,,"INDESA 2010, S.L.",,
6335,,EXCAVACIONES JULEN SL,,
6240,,ECM INGENIERIA AMBIENTAL SL,,
6337,,WAGEN GROUP RETAIL ESPAÑA S.A.,,
6407,,LYNX IDIOMAS S.L,,
6516,,"CONTROLTECNICA EQUIPOS Y PROYECTOS, S.L.",,
6172,,FERNANDO GARCÍA-OCHOA MONTES,,
6432,,"ESTACIONAMIENTOS Y SERVICIOS, S.A.",,
6203,,ERABILGARRI GESTION S.L.,,
6539,,"ARGOIZARGI, S.L.",,
6220,,BASQUE CULINARY CENTER FUNDAZIOA,,
6511,,"CENTRE ESPECIAL DE TREBALL XAVIER AGUILAR PEDREROL, S.L.",,
6513,,"RKL INTEGRAL, S.COOP. PEQUEÑA",,
6441,,IZASKUN BENITO ECHEVERRIA,,
6228,,ELKARMEDIA SL,,
7160,,AIARALDEA KOOPERATIBA ELKARTEA,,
6180,,EXPLOTACIONES FORESTALES LA BELLA SL,,
,,,,
6338,,ANTONIO MIGUEL FIDALGO GALLEGO,,
8626,,NAVAR PRODUCCIONES SL,,
6473,,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,,
5958,,"SPORA INGURUMEN ZERBITZUAK, S.L.",,
6197,,SAIOA BARREDO CANALES,,
6187,,I C BILBAO SERVICIOS LINGUISTICOS SL,,
6486,,"ARENAL GRUPO CONSULTOR, SL",,
6654,,ORIXOL NATURA IKERKETA BABESA ELKARTEA,,
5752,,"BERTAKO KIROL LANAK, S.L.",,
5914,,ALUMBRADOS VIARIOS,,
5787,,"EDUKEIBAR, S.L.",,
6079,,SAS INSTITUTE S.A.U.,,
6091,,"PELTISA, S.L.",,
6069,,"ARALIA SERVICIOS SOCIOSANIATRIOS, S.A.",,
6133,,JORGE INCHAURBE MARTÍNEZ DE MURGUÍA,,
5972,,JUAN CARLOS AGÜERO BASOCO,,
6087,,CONSTRUCCIONES RODRIGUEZ ULLOA S.L.,,
5656,,ALEX LARRETXI MARTÍNEZ,,
5772,,KABIA ELKARTEA,,
6023,,"WOKO CREATIVOS, S.L.",,
6255,,"CAMARA OFICIAL DE COMERCIO, INDUSTRIA Y SERVICIOS DE ÁLAVA",,
6115,,"SISCA SEÑALIZACIONES, SL.",,
6072,,IRATIFRUT S.L.U.,,
5942,,PROYECTOS  Y DESARROLLOS XORTU S.L.,,
5796,,INGENIERIA Y CONSULTORIA EN RECURSOS DEL SUBSUELO S.L,,
,,,,
6144,,VALORA PREVENCION SL,,
6395,,BELLIDO LEICEAGA S.L.,,
5856,,DXC TECHNOLOGY SERVICIOS ESPAÑA S.L.U.,,
5819,,IOK CONSULTORÍA SOCIAL SOCIEDAD COOPERATIVA PEQUEÑA,,
6402,,"CAMPO Y OCHANDIANO, S.L.",,
5995,,ASOCIACIÓN SUSTERRA PARA LA PROMOCIÓN HUMANA Y EL DESARROLLO COMUNITARIO,,
5798,,"INNOBASQUE, AGENCIA VASCA DE LA INNOVACIÓN",,
5882,,"FEJIVE, S.L.",,
6159,,ARITZ LOPEZ ARAMBURU,,
6771,,CONSTRUCCIONES ZARATE Y ELEXPE S.L.,,
6071,,ASOCIACIÓN DE INTERVENCIÓN SOCIOEDUCATIVA KALEXKA,,
6177,,IÑATELL ZERBITZUAK S.L.,,
6369,,GALDER DE LA FUENTE MAGAÑA,,
6040,,"Q-MATIC SISTEMAS, S.A.U.",,
5945,,ALBERTO OLABUENAGA GOICOECHEA,,
7088,,AITOR ALCAIDE ECHABE,,
7001,,"ARETÉ-ACTIVA, S.L.",,
7086,,GOROSTI NEURKETAK S.L.,,
7202,,"MAGNETRON, S.A.",,
6931,,"ALL MULTIDISCIPLINARY BRAND , SL",,
7009,,"VESTUARIO LABORAL MUSKIZ, S.L.",,
7241,,"CYBERSEC CULTURE & AEARENESS, S.L.",,
7223,,MARTINEZ CENTRO DE GESTION SOCIEDAD LIMITADA,,
7137,,"PROJEKTA CONTRACT, S.C.P",,
6918,,"MANUFACTURAS JUPE, S.A.",,
,,,,
7072,,"SERVICIOS URRALTU, S.L.",,
7099,,BETTINA MELCHER KAHLERT,,
7304,,"CHEMIPOL, SA",,
7106,,FRANCISCO JAVIER EGUÍLUZ GUTIÉRREZ-BARQUÍN,,
7102,,"BOS CONSULTING MILENIUM, S.L.",,
7000,,"GISMA ASESORAMIENTO, S.L.",,
7203,,"ARGON CONSULTORES ECONÓMICO FINANCIEROS, S.L.",,
8279,,"EROSKI, S.COOP.",,
6623,,"INSTRUMENTOS MÉDICOS ESTÉRILES, S.A.",,
6726,,"PRINTES SECURITY ADVICE, S.L.",,
6878,,EXCELTIC S.L.,,
6897,,"ZEROLAB, S.L.",,
7468,,"BATERIAS, ACUMULADORES, SEÑALIZACIONES Y ESPECIALIDADE, S.L.",,
6863,,"EKIA INTERVENCIÓN PSICOSOCIAL, S.L.",,
6663,,"DATEANDO, SOCIEDAD MICROCOOPERATIVA",,
7002,,"AZTES INGENIERÍA, S.L.",,
3879,,"CUADRA BIDEAN, S.L.",,
6698,,"KLIDAT SERVICIOS DE CLIENTE Y CIUDAD, S.L.",,
6926,,"ASFALGAL TECNICAS VIARIAS, S.L",,
7311,,SOCIEDAD ESPAÑOLA DE MEDICINA DE FAMILIA Y COMUNITARIA,,
6436,,PATRICIA BIAIN UGARTE,,
7262,,Electricidad Ugao SLU,,
6690,,"MORA ROMAN, MANFRED DANIEL",,
6970,,FUNDACION BEGIRUNE - BEGIRUNE FUNDAZIOA,,
6873,,GASSO CIMNE INERGY SL,,
,,,,
6576,,HUMBERTO FERNANDEZ PASCUAL,,
6917,,KULTUR SOLEIL S.COOP.PEQUEÑA,,
6883,,"LASER CUTTING PARTNERS,S.L.",,
6655,,"LAMI, S.A.",,
6594,,"DUNBA ARGITALPEN LANAK, S.L.",,
7871,,NTT SPAIN INTELLIGENT TECHNOLOGIES AND SERVICES S.L.,,
7869,,ARGA TECHNICAL SALES SL,,
8010,,"ARZANEGI ARQUITECTURA, S.L.",,
7771,,"ESNAOLA COMUNICACION, SOCIEDAD LIMITADA",,
7833,,"MAQUINARIA GEKA,  S.L.",,
7680,,"DH Healthcare Provider Software Spain, S.L.U.",,
7635,,"GRUPO EMPRESARIAL DROWERS, S.L.",,
7887,,"RECUPERADOS ISASI, S.L.",,
7926,,FRANCISCO JAVIER FERNANDEZ NEGRO,,
8024,,JOAQUIN LORENTE GALDOS,,
7730,,JUAN BAUTISTA MIRANDA TRESCASTRO,,
8026,,"CALIDAD, ORGANIZACION Y VIVIENDA, S.L.",,
7803,,MARIA NIEVES OCHOA,,
7670,,"PERMACA, S.L.",,
8095,,"ESTACION DE SERVICIO SATURRARAN, S.L.",,
7914,,"HEDIMA CUSTOM LEARNING SERVICES, S.L.",,
7714,,"IMPORT-MÓVIL JULIÁN, S.L.",,
7741,,"BLUE CELL COMUNICACIÓN, S.L.",,
7901,,"KALIDA DE A. ACOMPAÑAMIENTO, CALIDAD Y DESARROLLO, S.L.",,
7959,,ELSA MARIA IMATZ BASARRATE,,
,,,,
7961,,"SUR AEROSPACE SPAIN, S.L.",,
7782,,"ROTEC MEDICA, S.A.",,
7646,,"AINTEK XXI TECNOLOGIAS, S.L.",,
7642,,"YNTEGRA SERVICIOS INTEGRALES, S.L.",,
7755,,"TEXTIL ARTEXMON, S.L.",,
7897,,"DESAMIANTADOS DESNOR, S.L.",,
7981,,"HOSTELBERRI, S.L.",,
8002,,"AXONES IBERICA, S.L.",,
7867,,"ARCO DESARROLLO SOCIAL, S.L.",,
7829,,"SOCADE INFORMATICA, S.L.",,
7431,,"KLINER PROFESIONAL, S.A.",,
7473,,JUAN IGNACIO AGUIRRECHE AIZPITARTE,,
7534,,"ASIDMA SERVICIOS SOCIALES, S.L.",,
7694,,"NGLOBA STRATEGY, S.L.",,
7264,,JUAN CARLOS PEREZ DE ONRAITA MENDIA,,
7335,,SAREKIN S.L.,,
7326,,"ANGEL GABARDOS GALINDO SUCESORES, S.L.",,
7242,,"CONSTRUCCIÓN, ARTE Y RESTAURACIÓN GARSAN S.L.",,
7430,,"STRATTON SUMINISTROS, S.L.",,
7398,,"BUGAR INGENIERIA Y PROYECTOS, S.L.",,
7520,,"AUTOESCUELA SALAZAR, S.L.",,
7582,,"NISSEN ELEKTROBAU IBERICA, S.L.",,
7544,,"ISABELLA PREMIUN, S.L.",,
7435,,IBERIAN CARE 2016 S.L.,,
8287,,"PLAYAS CANTABRICO BALEARES, S.L.",,
,,,,
8538,,"Cei SERVICIO DE PREVENCION, S.L.U.",,
8254,,"KATOID TECHNOLOGY, S.L.",,
8838,,"REDENA DEMOLICIONES, S.L.",,
8266,,"FUNCOTEX, S.L.",,
8270,,"ELECNOR SERVICIOS Y PROYECTOS, S.A.",,
8593,,SILVIA HOSPITAL ALVAREZ,,
8719,,"WELLK SOFTWARE SOLUTIONS, S.L.",,
8801,,"R2M SOLUTION SPAIN, S.L.",,
8225,,"MANPROL GESTION, S.L.",,
8863,,ASOCIACIÓN DE PROFESIONALES EXTRANJEROS DE EUSKADI- PRESTATURIK,,
8498,,FUNDACION VIZCAÍNA DE CARIDAD RESIDENCIA CONDE DE ARESTI,,
8633,,ENRIQUE ARZAMENDI BALERDI,,
8800,,"A3R SERVICIOS DE CONSULTORIA INFORMATICA 2013, S.L.",,
8854,,"ATRES ARMARIOS EMPOTRADOS, S.L.",,
8877,,"VETERUM ARQUEOLOGOS, S.L.",,
8172,,IMATHIA CONSTRUCCION SL,,
8106,,PABLO LOPEZ LEAL,,
8257,,"N SERVICES LAND - HUB EUSKADI, S.L.",,
8524,,"INKATEC AUTOMATIZACION Y ROBOTICA, S.L.",,
8213,,"IPARSAT TELECOMUNICACIONES, S.L.",,
8215,,"IDENTIFICACIÓN VISUAL ABEZETA, S.L.",,
8200,,VESTILAB CLEAN ROOM CONTROL SL,,
7831,,"VIALINE GESTIÓN, SOCIEDAD LIMITADA",,
8628,,"IGNACIO NUÑEZ REFORMAS, S.L.",,
8641,,PROYECTOS MECANICOS DE INSTALACIONES INDUSTRIALES SA,,
,,,,
8289,,"TORRENE CONSULTING, S.L.",,
8530,,"EXCAVACIONES Y REPOBLACIONES FORESTALES GARCÍA, S.L.",,
8621,,"ARRAZTIO ARKITEKTURA, S.L.P.",,
8825,,"ELETIOPE, S.L.",,
8378,,"OKINDEGI GOZOTOKIA EL TALO, S.L.",,
8725,,ALVARGONZÁLEZ CONTRATAS SA,,
8727,,"REHABILITACIONES Y OBRAS KUBER, S.L.",,
8203,,ABANDO 2000 CORREDURÍA DE SEGUROS,,
8083,,FRANCISCO JAVIER GARCIA UGALDE,,
8870,,IÑIGO SANTXO URIARTE,,
8849,,"AUREN ABOGADOS BIO, S.L.",,
8789,,"TELLAIKESAN, S.L.",,
8714,,"SCHNEIDER MEDIZIN, S.L.",,
8184,,MIGUEL ANGEL PINTADO ARIAS,,
8610,,"ARTE Y CALIDAD EN PAPEL ARTEPAPEL, S.A.",,
8190,,BASQUE DESTINATION SL,,
8546,,FEDERACIÓN ALAVESA DE ACTIVIDADES SUBACUATICAS,,
8527,,ROCIO GARCIA PEÑA,,
8085,,"ALBIA SERVICIOS INTEGRALES DE LIMPIEZA, S.L.",,
8403,,ROBERTO FLORES CALERO,,
8335,,ALBERTO LOIDI LIZASO,,
8482,,GARMENDIA TEJAS Y CUBIERTAS SL,,
8263,,EUSKALTZALEEN TOPAGUNEA FEDERAZIOA,,
8313,,"BEITIA NATURLANAK, S.L.",,
8832,,"ALLENDE ENKARKI, S.L.",,
,,,,
8153,,"REPUTATIONAL INTELLIGENCE SPAIN, S.L.",,
8878,,"SABORIT INTERNATIONAL, S.L.",,
34,,"LANBIDE EMPRESA CONSTRUCTORA, S.A.",,
1726,,JOSÉ IGNACIO ZABALA BERMEJO (COMERCIAL ARESTI),,
40,,"COMPONENTES ELECTRÓNICOS GAZTEIZ, S.A.",,
1909,,"MONTAJES Y CONSTRUCCIONES DILO, S.L.",,
222,,"SERVICIO DE AUDIO Y VÍDEO, S.A. (SOAVI, S.A.)",,
562,,"EMAIKER, S.L.",,
1322,,"IDEMA INGENIERÍA DEL MEDIO AMBIENTE, S.L.",,
1212,,"MENCHACA, S.A.",,
299,,"EUGENIO RODRÍGUEZ ROSADO PROMOCIÓN Y CONSTRUCCIÓN, S.A.",,
1800,,"LOVADER MIX, S.L.",,
1722,,"NEURRI INGENIEROS, S.A.",,
1747,,"BERAKO-EASO, S.A.",,
1684,,"TÉCNICOS ASOCIADOS TERRANOVA, S.L.",,
