Número inscripción,,Denominación social,,
8181,,"ANSOLA BASTIDA ARKITEKTOAK, S.L.P.",,
8406,,"VADRISA, S.L.",,
8189,,ANA MONSERRAT SANZ RUIZ DE ONRAITA,,
8168,,IGNACIO UNAMUNO FERNÁNDEZ,,
8080,,"BITART NEW MEDIA, SOCIEDAD LIMITADA",,
8052,,"ARGOS CONSULTING NETWORK, S.L.",,
8334,,JOSE MARÍA LARRAURI MARTÍNEZ,,
8882,,OLATUKOOP EKONOMIA SOZIAL ETA ERALDATZAILEA SUSTATZEKO SAREA ELKARTEA,,
8663,,HIRIGRAMA KOOP. ELK. TXIKIA,,
8162,,"OMENA TECHNOLOGIES, S.L.",,
8328,,"ELE AL CUBO, S.L.",,
2229,,"BOSS MEDICAL, S.L.",,
287,,"MICROLAB, S.A.",,
427,,"VIUDA DE SAINZ, S.A.",,
827,,"FEDERICO GINER, S.A.",,
,,,,
88,,"MONTAJES LOM, S.A.",,
377,,"KONTRON INSTRUMENTS, S.A.",,
1445,,"TEKNEI DIGITAL, S.A.",,
5888,,"APAREJO OFICINA TÉCNICA, S.L.",,
1530,,"IBEX SERVICIOS INFORMÁTICOS, S.L.",,
